Jan 1,Gen 1–3
Jan 2,Gen 4–6
Jan 3,Ps 1–3
Jan 4,
Jan 5,Gen 7–9
Jan 6,Gen 10–11
Jan 7,Gen 12–14
Jan 8,Gen 15–17
Jan 9,Gen 18–20
Jan 10,Ps 4–6
Jan 11,
Jan 12,Gen 21–23
Jan 13,Gen 24–25
Jan 14,Gen 26–28
Jan 15,Gen 29–31
Jan 16,Gen 32–34
Jan 17,Ps 7–9
Jan 18,
Jan 19,Gen 35–37
Jan 20,Gen 38–40
Jan 21,Gen 41–42
Jan 22,Gen 43–45
Jan 23,Gen 46–48
Jan 24,Ps 10–12
Jan 25,
Jan 26,Gen 49–50
Jan 27,Matt 1–2
Jan 28,Matt 3–4
Jan 29,Matt 5-7
Jan 30,Matt 8–9
Jan 31,Ps 13–15
Feb 1,
Feb 2,Matt 10–12
Feb 3,Matt  13-15
Feb 4,Matt 16–18
Feb 5,Matt 19-21
Feb 6,Matt 22-25
Feb 7,Ps 16–18
Feb 8,
Feb 9,Matt 26-28
Feb 10,Exod 1–3
Feb 11,Exod 4–6
Feb 12,Exod 7–9
Feb 13,Exod 10–12
Feb 14,Ps 19–21
Feb 15,
Feb 16,Exod 13–15
Feb 17,Exod 16–18
Feb 18,Exod 19–21
Feb 19,Exod 22–24
Feb 20,Exod 25–27
Feb 21,Ps 22–24
Feb 22,
Feb 23,Exod 28–30
Feb 24,Exod 31–33
Feb 25,Exod 34–36
Feb 26,Exod 37–40
Feb 27,John 1
Feb 28,Ps 25–27
Mar 1,
Mar 2,John 2-4
Mar 3,John 5-7
Mar 4,John 8–10
Mar 5,John 11-12
Mar 6,John 13-14
Mar 7,Ps 28–30
Mar 8,
Mar 9,John 15–17
Mar 10,John 18–19
Mar 11,John 20–21
Mar 12,Deut 1–3
Mar 13,Deut 4–6
Mar 14,Ps 31–33
Mar 15,
Mar 16,Deut 7–9
Mar 17,Deut 10–12
Mar 18,Deut 13–15
Mar 19,Deut 16–18
Mar 20,Deut 19–21
Mar 21,Ps 34–36
Mar 22,
Mar 23,Deut 22–24
Mar 24,Deut 25–27
Mar 25,Deut 28–30
Mar 26,Deut 31–34
Mar 27,Mark 1-3
Mar 28,Ps 37–39
Mar 29,
Mar 30,Mark 4-5
Mar 31,Mark 6-8
Apr 1,Mark 9–10
Apr 2,Mark 11–13
Apr 3,Mark 14-16
Apr 4,Ps 40–42
Apr 5,
